Time period and codes,Total Services,Clothing and footwear,Cleaning and hire of clothing,Repair and hire of footwear,"Housing, water, electricity, gas and other fuel",Actual rentals for housing,Actual rentals paid by tenants,Other actual rentals,Imputed rentals for housing,Imputed rentals for owner-occupiers,Other imputed rentals,Maintenance and repair of the dwelling services,Refuse collection,Sewerage collection,Other services relating to the dwelling,Household services,"Repair of furniture, furnishings and floor coverings",Repair of household appliances,Domestic and household services,Health,Out-patient services,Medical services,Dental services,Paramedical services,Hospital services,other Hospital services,Transport,Maintenance and repair of personal transport equipment,Other services in respect of personal transport equipment,Transport services,Rail,Road,Air,Sea and inland waterway,Other purchased transport services,Communication,Postal services,other Postal services,Telephone and telefax services,other Telephone and telefax services,Recreation and culture,Repairs of audio-visual etc equipment,Maintenance and repairs of other major durables,Veterinary and other services for pets,Recreational and cultural services,Recreational and sporting services,Cultural services,Games of chance,Package holidays,Education,Other education expenses,Other core education expenses,Restaurant and hotels,Catering services,"Restaurants, cafes etc",Canteens,Hotel Accommodation,other Accommodation,Miscellaneous,Hairdressing salons and personal grooming establishments,Prostitution,other Prostitution,Social protection,other Social protection,Insurance,Life insurance,Insurance connected with the dwelling,Insurance connected with health,Insurance connected with transport,Other insurance,Financial services n.e.c,FISIM,Other financial services n.e.c,Other services ,Other services nec
2015 Q3,"181,881",175,154,21,"70,292","19,092","19,036",56,"49,621","47,169","2,452",414,42,"1,123", [x] ,908,3,82,823,"3,646","2,097",882,969,246,"1,549","1,549","22,774","4,498","2,039","16,237","2,743","2,106","7,647","2,838",903,"5,063",191,191,"4,872","4,872","13,007",53,585,663,"11,706","2,861","5,859","2,986", [x] ,"6,079","6,079","6,079","33,162","24,782","23,627","1,155","8,380","8,380","26,775","1,768","1,266","1,266","4,296","4,296","4,200","1,743",566,654,535,702,"11,438","5,678","5,760","3,807","3,807"
2015 Q4,"176,179",153,135,18,"71,042","19,320","19,264",56,"50,161","47,690","2,471",396,43,"1,122", [x] ,"1,196",2,102,"1,092","3,763","2,187",899,"1,067",221,"1,576","1,576","17,767","4,396","2,000","11,371","2,764","2,119","4,586","1,277",625,"5,465",562,562,"4,903","4,903","12,469",58,588,637,"11,186","2,370","5,503","3,313", [x] ,"6,209","6,209","6,209","31,037","24,235","22,882","1,353","6,802","6,802","27,078","1,825","1,287","1,287","3,449","3,449","4,911","1,847",664,825,738,837,"11,756","5,720","6,036","3,850","3,850"
2016 Q1,"173,136",147,131,16,"72,440","19,720","19,661",59,"51,110","48,576","2,534",434,47,"1,129", [x] ,"1,094",4,138,952,"3,899","2,276",912,"1,151",213,"1,623","1,623","16,631","4,303","2,110","10,218","2,736","1,791","4,447",642,602,"5,154",203,203,"4,951","4,951","12,410",58,592,635,"11,125","2,881","5,283","2,961", [x] ,"6,332","6,332","6,332","27,523","22,201","20,794","1,407","5,322","5,322","27,506","1,811","1,306","1,306","3,855","3,855","5,020","2,084",584,698,906,748,"11,792","5,242","6,550","3,722","3,722"
2016 Q2,"184,352",154,138,16,"73,393","19,878","19,817",61,"51,826","49,232","2,594",490,53,"1,146", [x] ,"1,257",2,110,"1,145","3,885","2,205",861,"1,111",233,"1,680","1,680","19,829","4,333","2,163","13,333","2,865","2,055","5,196","2,418",799,"5,197",189,189,"5,008","5,008","12,783",54,597,656,"11,476","3,126","5,543","2,807", [x] ,"6,437","6,437","6,437","32,118","25,076","23,717","1,359","7,042","7,042","29,299","1,860","1,326","1,326","4,093","4,093","5,232","2,331",499,697,"1,043",662,"12,731","5,767","6,964","4,057","4,057"
2016 Q3,"193,087",187,169,18,"73,940","20,012","19,949",63,"52,225","49,581","2,644",512,51,"1,140", [x] ,"1,314",5,122,"1,187","4,084","2,290",880,"1,151",259,"1,794","1,794","23,405","4,381","2,165","16,859","2,922","2,111","7,872","2,894","1,060","5,330",227,227,"5,103","5,103","13,247",54,605,743,"11,845","2,987","6,176","2,682", [x] ,"6,530","6,530","6,530","35,249","26,181","24,988","1,193","9,068","9,068","29,801","1,937","1,342","1,342","4,055","4,055","5,265","2,481",655,534,833,762,"13,650","5,925","7,725","3,552","3,552"
2016 Q4,"186,086",208,188,20,"74,175","19,997","19,932",65,"52,493","49,808","2,685",505,47,"1,133", [x] ,"1,292",9,117,"1,166","4,014","2,562","1,163","1,130",269,"1,452","1,452","18,439","4,449","2,197","11,793","2,966","2,110","4,620","1,394",703,"5,661",481,481,"5,180","5,180","12,707",56,615,782,"11,254","2,804","5,730","2,720", [x] ,"6,608","6,608","6,608","33,250","25,922","24,524","1,398","7,328","7,328","29,732","1,980","1,355","1,355","3,616","3,616","4,889","2,490",525,606,652,616,"13,760","5,978","7,782","4,132","4,132"
2017 Q1,"180,497",226,207,19,"73,949","19,973","19,907",66,"52,323","49,645","2,678",468,44,"1,141", [x] ,"1,084",9,127,948,"4,171","2,489",986,"1,224",279,"1,682","1,682","17,395","4,560","2,388","10,447","2,907","1,856","4,485",522,677,"5,396",214,214,"5,182","5,182","12,745",65,626,812,"11,242","3,063","5,534","2,645", [x] ,"6,674","6,674","6,674","29,885","24,040","22,553","1,487","5,845","5,845","28,972","2,019","1,369","1,369","3,868","3,868","4,708","2,454",479,680,527,568,"13,095","5,506","7,589","3,913","3,913"
2017 Q2,"190,612",205,188,17,"73,979","20,014","19,947",67,"52,302","49,611","2,691",445,55,"1,163", [x] ,"1,225",8,113,"1,104","4,204","2,471","1,010","1,206",255,"1,733","1,733","21,258","4,740","2,593","13,925","2,908","2,031","5,749","2,360",877,"5,530",201,201,"5,329","5,329","12,942",59,638,820,"11,425","3,149","5,435","2,841", [x] ,"6,744","6,744","6,744","34,144","26,566","25,181","1,385","7,578","7,578","30,381","2,004","1,380","1,380","3,943","3,943","5,490","2,269",558,705,"1,170",788,"13,409","5,352","8,057","4,155","4,155"
2017 Q3,"196,792",180,165,15,"74,290","20,018","19,951",67,"52,564","49,853","2,711",489,49,"1,170", [x] ,"1,324",10,126,"1,188","3,757","2,037",647,"1,167",223,"1,720","1,720","24,418","4,859","2,607","16,952","3,014","2,309","7,588","2,960","1,081","5,602",245,245,"5,357","5,357","13,657",58,648,822,"12,129","3,064","6,138","2,927", [x] ,"6,826","6,826","6,826","37,601","27,667","26,368","1,299","9,934","9,934","29,137","2,003","1,390","1,390","4,082","4,082","4,422","2,031",265,500,979,647,"13,022","5,160","7,862","4,218","4,218"
2017 Q4,"190,909",156,143,13,"74,732","20,060","19,993",67,"52,998","50,264","2,734",455,51,"1,168", [x] ,"1,135",7,123,"1,005","4,067","2,347","1,038","1,115",194,"1,720","1,720","20,102","4,863","2,615","12,624","3,049","2,243","5,255","1,309",768,"6,026",536,536,"5,490","5,490","13,256",54,659,850,"11,693","2,912","5,797","2,984", [x] ,"6,918","6,918","6,918","34,700","27,473","26,017","1,456","7,227","7,227","29,817","2,001","1,401","1,401","4,044","4,044","4,766","1,782",445,779,995,765,"13,090","5,147","7,943","4,515","4,515"
2018 Q1,"185,561",173,161,12,"75,291","20,145","20,074",71,"53,443","50,649","2,794",470,49,"1,184", [x] ,"1,121",10,138,973,"4,110","2,365","1,050","1,115",200,"1,745","1,745","19,234","4,833","2,583","11,818","2,924","1,901","5,631",614,748,"5,435",222,222,"5,213","5,213","13,058",50,668,869,"11,471","3,161","5,562","2,748", [x] ,"7,021","7,021","7,021","30,438","24,284","22,860","1,424","6,154","6,154","29,680","2,049","1,413","1,413","4,220","4,220","4,242","1,585",389,828,818,622,"13,475","5,924","7,551","4,281","4,281"
2018 Q2,"196,363",196,185,11,"75,840","20,300","20,228",72,"53,821","50,995","2,826",447,57,"1,215", [x] ,"1,314",8,132,"1,174","4,041","2,261",948,"1,077",236,"1,780","1,780","23,280","4,919","3,015","15,346","3,093","2,177","6,436","2,726",914,"5,372",197,197,"5,175","5,175","13,363",54,677,867,"11,765","3,184","5,623","2,958", [x] ,"7,106","7,106","7,106","35,517","27,919","26,473","1,446","7,598","7,598","30,334","2,060","1,422","1,422","3,961","3,961","4,638","1,477",535,756,"1,144",726,"13,946","6,340","7,606","4,307","4,307"
2018 Q3,"203,848",206,196,10,"76,322","20,436","20,363",73,"54,170","51,314","2,856",446,60,"1,210", [x] ,"1,445",10,154,"1,281","3,773","2,012",688,"1,062",262,"1,761","1,761","27,033","5,035","2,911","19,087","3,176","2,439","8,826","3,460","1,186","5,396",202,202,"5,194","5,194","14,157",61,682,922,"12,492","2,869","6,615","3,008", [x] ,"7,172","7,172","7,172","38,249","28,802","27,561","1,241","9,447","9,447","30,095","2,111","1,431","1,431","4,087","4,087","3,844","1,514",483,486,793,568,"14,375","6,741","7,634","4,247","4,247"
2018 Q4,"198,099",190,179,11,"76,825","20,554","20,481",73,"54,561","51,693","2,868",455,53,"1,202", [x] ,"1,355",10,158,"1,187","4,165","2,398",996,"1,131",271,"1,767","1,767","21,152","5,067","2,766","13,319","3,295","2,369","5,491","1,327",837,"5,610",445,445,"5,165","5,165","13,767",62,687,881,"12,137","2,682","6,489","2,966", [x] ,"7,222","7,222","7,222","35,975","28,352","26,898","1,454","7,623","7,623","31,838","2,143","1,437","1,437","3,756","3,756","4,856","1,686",430,880,"1,133",727,"15,054","7,104","7,950","4,592","4,592"
2019 Q1,"190,650",183,169,14,"77,108","20,615","20,542",73,"54,809","51,938","2,871",441,49,"1,194", [x] ,"1,299",9,133,"1,157","4,188","2,379","1,050","1,076",253,"1,809","1,809","20,132","4,928","2,904","12,300","3,339","2,080","5,495",557,829,"5,313",202,202,"5,111","5,111","13,592",58,690,920,"11,924","3,043","5,869","3,012", [x] ,"7,270","7,270","7,270","30,537","24,786","23,360","1,426","5,751","5,751","31,028","2,189","1,465","1,465","3,856","3,856","4,798","1,973",462,888,838,637,"14,102","6,376","7,726","4,618","4,618"
2019 Q2,"201,355",200,182,18,"77,460","20,678","20,604",74,"55,054","52,171","2,883",449,48,"1,231", [x] ,"1,460",10,123,"1,327","3,954","2,120",872,994,254,"1,834","1,834","24,605","4,763","3,227","16,615","3,509","2,307","6,804","2,913","1,082","5,271",191,191,"5,080","5,080","14,462",53,695,903,"12,811","3,543","6,039","3,229", [x] ,"7,303","7,303","7,303","35,912","27,963","26,435","1,528","7,949","7,949","30,728","2,188","1,482","1,482","3,678","3,678","5,005","2,190",549,768,848,650,"13,887","5,776","8,111","4,488","4,488"
2019 Q3,"207,893",235,214,21,"77,831","20,786","20,711",75,"55,298","52,406","2,892",459,50,"1,238", [x] ,"1,439",7,121,"1,311","3,809","1,884",667,961,256,"1,925","1,925","27,169","4,636","3,281","19,252","3,478","2,398","8,544","3,423","1,409","5,313",204,204,"5,109","5,109","14,892",49,704,972,"13,167","3,127","7,098","2,942", [x] ,"7,327","7,327","7,327","39,424","29,659","28,333","1,326","9,765","9,765","30,454","2,218","1,507","1,507","3,921","3,921","4,628","2,310",516,597,654,551,"13,998","5,703","8,295","4,182","4,182"
2019 Q4,"202,902",254,235,19,"78,143","20,809","20,733",76,"55,555","52,643","2,912",453,64,"1,262", [x] ,"1,391",4,156,"1,231","4,115","2,212","1,034",933,245,"1,903","1,903","20,863","4,469","3,330","13,064","3,210","2,204","5,429","1,322",899,"5,912",436,436,"5,476","5,476","14,763",44,715,962,"13,042","2,910","7,099","3,033", [x] ,"7,347","7,347","7,347","38,146","29,647","28,167","1,480","8,499","8,499","31,968","2,027","1,539","1,539","3,890","3,890","5,043","2,318",492,861,795,577,"14,802","6,209","8,593","4,667","4,667"
2020 Q1,"190,483",235,223,12,"78,539","20,786","20,709",77,"55,893","52,961","2,932",457,70,"1,333", [x] ,"1,162",1,103,"1,058","4,019","2,163",969,956,238,"1,856","1,856","17,653","4,573","3,093","9,987","2,433","1,738","4,820",343,653,"5,546",221,221,"5,325","5,325","14,101",51,601,966,"12,483","3,253","6,580","2,650", [x] ,"7,505","7,505","7,505","31,248","25,480","24,108","1,372","5,768","5,768","30,475","1,970","1,458","1,458","3,705","3,705","4,748","2,317",270,900,728,533,"13,809","5,504","8,305","4,785","4,785"
2020 Q2,"141,007",95,87,8,"78,969","20,904","20,826",78,"56,185","53,232","2,953",475,87,"1,318", [x] ,794,2,109,683,"2,190",966,615,170,181,"1,224","1,224","6,060","2,827","1,045","2,188",388,630,644,193,333,"5,639",231,231,"5,408","5,408","7,544",43,563,616,"6,322","1,617","2,407","2,298", [x] ,"7,362","7,362","7,362","7,836","6,822","6,437",385,"1,014","1,014","24,518",89,555,555,"2,618","2,618","4,810","2,243",343,857,"1,205",162,"12,315","4,640","7,675","4,131","4,131"
2020 Q3,"173,250",169,156,13,"79,294","20,917","20,839",78,"56,532","53,563","2,969",413,84,"1,348", [x] ,"1,306",7,142,"1,157","2,390",895,451,219,225,"1,495","1,495","11,337","3,778","2,491","5,068",624,"1,362","1,326","1,088",668,"5,892",226,226,"5,666","5,666","10,450",29,338,865,"9,218","2,582","4,034","2,602", [x] ,"7,450","7,450","7,450","27,352","21,996","21,465",531,"5,356","5,356","27,610","1,651","1,104","1,104","2,895","2,895","4,508","2,189",434,564,"1,010",311,"13,014","5,263","7,751","4,438","4,438"
2020 Q4,"169,070",167,161,6,"79,717","21,001","20,924",77,"56,835","53,855","2,980",469,51,"1,361", [x] ,"1,173",4,134,"1,035","3,230","1,473",732,470,271,"1,757","1,757","10,053","3,832","2,651","3,570",833,"1,298",541,334,564,"6,128",529,529,"5,599","5,599","11,326",42,283,"1,163","9,838","2,350","4,629","2,859", [x] ,"7,687","7,687","7,687","21,558","18,497","17,776",721,"3,061","3,061","28,031","1,295","1,014","1,014","2,804","2,804","4,898","2,171",418,987,"1,058",264,"13,572","5,421","8,151","4,448","4,448"
2021 Q1,"162,170",137,130,7,"80,255","21,186","21,109",77,"57,183","54,197","2,986",476,55,"1,355", [x] ,964,8,90,866,"3,558","1,632",902,450,280,"1,926","1,926","9,959","4,160","2,626","3,173",741,"1,173",500,79,680,"5,874",273,273,"5,601","5,601","11,388",31,532,"1,066","9,759","2,474","4,495","2,790", [x] ,"7,851","7,851","7,851","13,836","12,175","11,669",506,"1,661","1,661","28,348",124,974,974,"3,286","3,286","5,284","2,203",467,"1,027",972,615,"14,006","6,027","7,979","4,674","4,674"
2021 Q2,"186,500",158,152,6,"80,676","21,376","21,298",78,"57,435","54,449","2,986",456,50,"1,359", [x] ,981,8,112,861,"3,821","1,833",886,665,282,"1,988","1,988","12,309","4,883","3,138","4,288","1,222","1,381",634,546,505,"5,932",251,251,"5,681","5,681","12,903",50,578,"1,126","11,149","3,064","5,387","2,698", [x] ,"8,021","8,021","8,021","31,115","25,900","25,183",717,"5,215","5,215","30,584","2,023","1,194","1,194","3,263","3,263","5,233","2,244",553,918,869,649,"14,581","6,272","8,309","4,290","4,290"
2021 Q3,"205,750",222,212,10,"81,432","21,657","21,578",79,"57,840","54,845","2,995",539,54,"1,342", [x] ,"1,081",10,145,926,"3,911","1,802",839,636,327,"2,109","2,109","17,089","5,175","3,349","8,565","1,818","1,669","2,546","1,771",761,"5,953",237,237,"5,716","5,716","14,645",45,649,"1,216","12,735","2,947","6,887","2,901", [x] ,"8,193","8,193","8,193","42,299","32,987","32,281",706,"9,312","9,312","30,925","1,908","1,364","1,364","3,678","3,678","4,677","2,303",440,552,736,646,"14,746","6,490","8,256","4,552","4,552"
2021 Q4,"202,703",114,105,9,"82,122","21,869","21,790",79,"58,420","55,406","3,014",456,50,"1,327", [x] ,"1,121",10,199,912,"4,621","2,316","1,130",859,327,"2,305","2,305","17,109","5,065","3,284","8,760","1,934","1,642","3,824",530,830,"6,396",566,566,"5,830","5,830","15,171",40,664,"1,263","13,204","3,090","7,118","2,996", [x] ,"8,370","8,370","8,370","34,918","27,528","26,638",890,"7,390","7,390","32,761","1,782","1,373","1,373","3,848","3,848","5,352","2,369",587,"1,093",620,683,"15,472","6,908","8,564","4,934","4,934"
2022 Q1,"202,283",169,157,12,"82,911","21,955","21,875",80,"59,075","56,033","3,042",502,69,"1,310", [x] ,956,11,134,811,"4,455","2,147",892,915,340,"2,308","2,308","16,939","4,890","3,341","8,708","2,147","1,523","3,752",269,"1,017","6,087",230,230,"5,857","5,857","15,656",35,731,"1,321","13,569","3,674","6,852","3,043", [x] ,"8,526","8,526","8,526","32,307","26,667","25,690",977,"5,640","5,640","34,277","1,799","1,488","1,488","4,051","4,051","4,635","2,346",313,760,787,429,"17,061","8,428","8,633","5,243","5,243"
2022 Q2,"221,692",196,187,9,"83,752","22,125","22,045",80,"59,740","56,667","3,073",471,73,"1,343", [x] ,"1,038",10,134,894,"4,247","1,935",859,750,326,"2,312","2,312","22,213","4,825","3,715","13,673","2,954","1,793","5,754","1,828","1,344","6,035",240,240,"5,795","5,795","16,048",36,793,"1,343","13,876","3,802","6,934","3,140", [x] ,"8,751","8,751","8,751","42,686","32,906","32,047",859,"9,780","9,780","36,726","1,888","1,527","1,527","4,235","4,235","5,604","2,468",624,825,666,"1,021","18,482","9,155","9,327","4,990","4,990"
2022 Q3,"230,387",215,208,7,"84,652","22,219","22,139",80,"60,510","57,399","3,111",522,66,"1,335", [x] ,"1,273",10,209,"1,054","4,191","2,025",857,926,242,"2,166","2,166","25,979","4,669","3,615","17,695","3,226","1,938","8,052","3,179","1,300","6,079",223,223,"5,856","5,856","16,757",39,800,"1,504","14,414","3,946","7,263","3,205", [x] ,"8,970","8,970","8,970","44,722","33,629","32,815",814,"11,093","11,093","37,549","1,842","1,562","1,562","4,738","4,738","5,067","2,516",452,770,717,612,"19,606","10,674","8,932","4,734","4,734"
2022 Q4,"232,125",162,153,9,"85,628","22,397","22,316",81,"61,303","58,150","3,153",521,72,"1,335", [x] ,"1,048",10,169,869,"4,773","2,370","1,165",864,341,"2,403","2,403","23,396","4,588","3,665","15,143","2,918","1,862","7,087","2,128","1,148","6,109",420,420,"5,689","5,689","17,086",33,807,"1,591","14,655","3,737","8,050","2,868", [x] ,"9,226","9,226","9,226","43,301","33,974","32,958","1,016","9,327","9,327","41,396","2,016","1,562","1,562","4,719","4,719","5,366","2,570",515,799,787,695,"22,417","13,673","8,744","5,316","5,316"
2023 Q1,"226,117",246,236,10,"86,834","22,768","22,684",84,"62,102","58,898","3,204",549,72,"1,343", [x] ,"1,127",5,212,910,"5,085","2,533","1,208",998,327,"2,552","2,552","20,392","4,580","3,311","12,501","2,761","1,553","6,265","1,055",867,"6,061",212,212,"5,849","5,849","16,719",29,814,"1,548","14,328","4,085","7,641","2,602", [x] ,"9,296","9,296","9,296","36,908","29,687","28,539","1,148","7,221","7,221","43,449","2,056","1,554","1,554","5,041","5,041","4,534","2,395",534,691,619,295,"24,290","15,586","8,704","5,974","5,974"
2023 Q2,"241,662",281,272,9,"88,508","23,408","23,320",88,"63,036","59,758","3,278",549,52,"1,463", [x] ,"1,242",15,221,"1,006","5,232","2,557","1,118","1,095",344,"2,675","2,675","26,033","4,613","3,753","17,667","3,109","1,741","8,698","3,086","1,033","6,299",229,229,"6,070","6,070","16,600",27,821,"1,577","14,175","4,292","7,432","2,451", [x] ,"9,464","9,464","9,464","45,177","35,778","34,713","1,065","9,399","9,399","42,826","2,122","1,546","1,546","4,607","4,607","5,357","2,333",578,910,861,675,"23,583","14,413","9,170","5,611","5,611"
2023 Q3,"249,174",266,258,8,"90,252","23,813","23,722",91,"64,267","60,909","3,358",620,81,"1,471", [x] ,"1,435",19,207,"1,209","5,155","2,411",914,"1,193",304,"2,744","2,744","30,922","4,592","3,611","22,719","3,195","1,999","11,334","4,684","1,507","6,295",211,211,"6,084","6,084","16,888",37,828,"1,573","14,450","4,142","7,845","2,463", [x] ,"9,633","9,633","9,633","47,059","36,121","35,244",877,"10,938","10,938","41,269","2,158","1,559","1,559","5,121","5,121","4,667","2,296",540,499,716,616,"23,313","14,309","9,004","4,451","4,451"
2023 Q4,"241,052",255,245,10,"92,017","24,267","24,173",94,"65,616","62,185","3,431",600,59,"1,475", [x] ,"1,137",26,177,934,"5,478","2,679","1,100","1,231",348,"2,799","2,799","22,747","4,610","3,394","14,743","3,145","1,823","6,576","1,998","1,201","6,614",517,517,"6,097","6,097","16,464",48,835,"1,599","13,982","3,786","7,838","2,358", [x] ,"9,803","9,803","9,803","43,900","34,953","33,857","1,096","8,947","8,947","42,637","2,335","1,572","1,572","5,327","5,327","4,940","2,286",545,845,696,568,"23,446","14,144","9,302","5,017","5,017"
2024 Q1,"237,582",212,203,9,"93,825","24,709","24,612",97,"66,964","63,451","3,513",591,81,"1,480", [x] ,"1,093",31,137,925,"5,558","2,668","1,053","1,261",354,"2,890","2,890","22,535","4,729","3,466","14,340","3,188","1,701","7,294","1,126","1,031","6,266",247,247,"6,019","6,019","17,083",43,842,"1,633","14,565","4,460","7,664","2,441", [x] ,"9,974","9,974","9,974","37,521","30,541","29,471","1,070","6,980","6,980","43,515","2,438","1,586","1,586","5,320","5,320","4,603","2,312",459,813,617,402,"23,645","14,487","9,158","5,923","5,923"
2024 Q2,"254,562",221,208,13,"95,950","25,280","25,180",100,"68,437","64,841","3,596",535,80,"1,618", [x] ,"1,276",35,128,"1,113","5,601","2,597",904,"1,344",349,"3,004","3,004","28,350","4,754","3,821","19,775","3,297","2,065","9,780","3,243","1,390","6,316",263,263,"6,053","6,053","17,495",41,849,"1,582","15,023","4,702","7,760","2,561", [x] ,"10,146","10,146","10,146","46,179","36,665","35,679",986,"9,514","9,514","43,028","2,517","1,604","1,604","4,982","4,982","5,037","2,327",561,915,711,523,"23,356","13,667","9,689","5,532","5,532"
2024 Q3,"264,975",223,211,12,"97,877","25,733","25,630",103,"69,891","66,216","3,675",573,60,"1,620", [x] ,"1,457",28,120,"1,309","5,562","2,493",720,"1,445",328,"3,069","3,069","33,407","4,731","3,567","25,109","3,408","2,189","12,670","5,032","1,810","6,341",251,251,"6,090","6,090","17,765",41,856,"1,559","15,309","4,588","8,249","2,472", [x] ,"10,323","10,323","10,323","48,889","37,640","36,875",765,"11,249","11,249","43,131","2,562","1,595","1,595","5,712","5,712","4,528","2,338",517,475,603,595,"23,178","13,686","9,492","5,556","5,556"
2024 Q4,"257,935",214,201,13,"100,026","26,193","26,086",107,"71,576","67,808","3,768",603,31,"1,623", [x] ,"1,226",28,111,"1,087","5,874","2,802",954,"1,530",318,"3,072","3,072","24,822","4,737","3,477","16,608","3,429","2,096","7,715","2,058","1,310","6,737",580,580,"6,157","6,157","17,371",37,864,"1,508","14,962","4,165","8,334","2,463", [x] ,"10,499","10,499","10,499","46,794","37,327","36,366",961,"9,467","9,467","44,372","2,492","1,619","1,619","5,561","5,561","4,929","2,338",539,830,615,607,"23,995","14,196","9,799","5,776","5,776"
